ID,Trial,A,B,Answer,Result,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,1,-2.7,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,2,-2.7,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,3,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,4,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,5,-2.7,-1.5,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,6,-2.7,-1.5,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,7,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,8,-1.4,-2.7,A,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,9,-2.7,-1.3,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,10,-1.3,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,11,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,12,-1.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,13,-2.7,-1.5,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,14,-2.7,-1.48,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,15,-2.7,-1.46,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,16,-2.7,-1.44,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,17,-2.7,-1.42,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,18,-2.7,-1.42,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,19,-1.44,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,20,-2.7,-1.44,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,21,-2.7,-1.42,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,22,-2.7,-1.42,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,23,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,24,-1.4,-2.7,B,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,25,-2.7,-1.42,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,26,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,27,-2.7,-1.4,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,28,-2.7,-1.42,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,29,-2.7,-1.42,A,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
t-1.5_2,30,-2.7,-1.44,B,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
-1.3,-1.3,-1.4,-1.4,-1.5,-1.5,-1.4,-1.4,-1.3,-1.3,-1.4,-1.4,-1.5,-1.48,-1.46,-1.44,-1.42,-1.42,-1.44,-1.44,-1.42,-1.42,-1.4,-1.4,-1.42,-1.4,-1.4,-1.42,-1.42,-1.44,-1.42
-1.5,-1.3,-1.5,-1.42,-1.44,-1.4,-1.42,-1.4,-1.44,,,,,,,,,,,,,,,,,,,,,,
-1.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
