ID,Trial,A,B,Answer,Result
008_c,0,-1.80,-1.20,B,True
008_c,1,-1.20,-1.80,A,True
008_c,2,-1.70,-1.20,B,True
008_c,3,-1.20,-1.70,A,True
008_c,4,-1.20,-1.60,A,True
008_c,5,-1.20,-1.60,A,True
008_c,6,-1.20,-1.50,B,False
008_c,7,-1.20,-1.60,A,True
008_c,8,-1.20,-1.60,A,True
008_c,9,-1.20,-1.50,A,True
008_c,10,-1.50,-1.20,B,True
008_c,11,-1.40,-1.20,B,True
008_c,12,-1.20,-1.40,A,True
008_c,13,-1.20,-1.30,B,False
008_c,14,-1.20,-1.32,A,True
008_c,15,-1.32,-1.20,B,True
008_c,16,-1.20,-1.30,B,False
008_c,17,-1.32,-1.20,B,True
008_c,18,-1.20,-1.32,A,True
008_c,19,-1.20,-1.30,A,True
008_c,20,-1.30,-1.20,A,False
008_c,21,-1.32,-1.20,A,False
008_c,22,-1.34,-1.20,A,False
008_c,23,-1.36,-1.20,B,True
008_c,24,-1.20,-1.36,A,True
008_c,25,-1.34,-1.20,A,False
008_c,26,-1.36,-1.20,B,True
-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.6,-1.6,-1.5,-1.5,-1.4,-1.4,-1.3,-1.32,-1.32,-1.3,-1.32,-1.32,-1.3,-1.3,-1.32,-1.34,-1.36,-1.36,-1.34,-1.36
-1.5,-1.6,-1.3,-1.32,-1.3,-1.32,-1.3,-1.36,-1.34
-1.33

